subject_id,filename,has_practice_effect,notes
sub147,EIT_horizontask_sub147_20190426T090545.mat,0,
sub149,EIT_horizontask_sub149_20190409T083013.mat,0,
sub151,EIT_horizontask_sub151_20190326T085715.mat,0,
sub152,EIT_horizontask_sub152_20190425T081903.mat,0,
sub153,EIT_horizontask_sub153_20190415T081830.mat,0,
sub154,EIT_horizontask_sub154_20190502T083645.mat,0,
sub155,EIT_horizontask_sub155_20190510T084425.mat,0,
sub157,EIT_horizontask_sub157_20190327T083336.mat,0,
sub158,EIT_horizontask_sub158_20190424T085017.mat,0,
sub160,EIT_horizontask_sub160_20190411T083221.mat,0,
sub161,EIT_horizontask_sub161_20190420T081539.mat,0,
sub162,EIT_horizontask_sub162_20190513T084147.mat,0,
sub163,EIT_horizontask_sub163_20190329T083130.mat,0,
sub164,EIT_horizontask_sub164_20190416T083355.mat,0,
sub165,EIT_horizontask_sub165_20190410T084652.mat,0,
sub166,EIT_horizontask_sub166_20190403T083018.mat,0,
sub168,EIT_horizontask_sub168_20190426T081044.mat,0,
sub169,EIT_horizontask_sub169_20190409T082521.mat,0,
sub170,EIT_horizontask_sub170_20190429T083951.mat,0,
sub172,EIT_horizontask_sub172_20190604T084002.mat,0,
sub173,EIT_horizontask_sub173_20190411T083347.mat,0,
sub174,EIT_horizontask_sub174_20190408T082932.mat,0,
sub177,EIT_horizontask_sub177_20190508T083759.mat,0,
sub178,EIT_horizontask_sub178_20190510T083734.mat,0,
sub179,EIT_horizontask_sub179_20190604T083133.mat,0,
sub180,EIT_horizontask_sub180_20190513T083924.mat,0,
sub181,EIT_horizontask_sub181_20190529T083506.mat,0,
sub183,EIT_horizontask_sub183_20190625T082716.mat,0,
sub184,EIT_horizontask_sub184_20190603T084030.mat,0,
sub185,EIT_horizontask_sub185_20190528T084335.mat,0,
sub186,EIT_horizontask_sub186_20190729T084459.mat,0,
sub187,EIT_horizontask_sub187_20190603T090350.mat,0,
sub188,EIT_horizontask_sub188_20190610T083900.mat,0,
sub190,EIT_horizontask_sub190_20190516T083408.mat,0,
sub195,EIT_horizontask_sub195_20190616T082323.mat,0,
sub198,EIT_horizontask_sub198_20190615T083939.mat,0,
sub199,EIT_horizontask_sub199_20190617T083444.mat,0,
sub200,EIT_horizontask_sub200_20190621T082845.mat,0,
sub202,EIT_horizontask_sub202_20190715T082924.mat,0,
sub203,EIT_horizontask_sub203_20190531T083511.mat,0,
sub204,EIT_horizontask_sub204_20190812T083001.mat,0,
sub205,EIT_horizontask_sub205_20190813T082818.mat,0,
sub206,EIT_horizontask_sub206_20190619T090448.mat,0,
sub207,EIT_horizontask_sub207_20190613T082531.mat,0,
sub208,EIT_horizontask_sub208_20190724T083523.mat,0,
sub209,EIT_horizontask_sub209_20190618T084758.mat,0,
sub210,EIT_horizontask_sub210_20190620T083657.mat,0,
sub211,EIT_horizontask_sub211_20190625T083351.mat,0,
sub212,EIT_horizontask_sub212_20190624T090008.mat,0,
sub213,EIT_horizontask_sub213_20190706T085527.mat,0,
sub214,EIT_horizontask_sub214_20190816T083731.mat,0,
sub215,EIT_horizontask_sub215_20190622T083230.mat,0,
sub218,EIT_horizontask_sub218_20190709T082512.mat,0,
sub219,EIT_horizontask_sub219_20190808T082614.mat,0,
sub220,EIT_horizontask_sub220_20190614T084014.mat,0,
sub221,EIT_horizontask_sub221_20190619T083516.mat,0,
sub222,EIT_horizontask_sub222_20190726T092857.mat,0,
sub223,EIT_horizontask_sub223_20190702T084220.mat,0,
sub224,EIT_horizontask_sub224_20190621T083822.mat,0,
sub225,EIT_horizontask_sub225_20190628T083930.mat,0,
sub226,EIT_horizontask_sub226_20191119T082655.mat,0,
sub227,EIT_horizontask_sub227_20190722T083157.mat,0,
sub234,EIT_horizontask_sub234_20190708T082235.mat,0,
sub235,EIT_horizontask_sub235_20190716T082432.mat,0,
sub236,EIT_horizontask_sub236_20190710T083206.mat,0,
sub237,EIT_horizontask_sub237_20190723T082637.mat,0,
sub238,EIT_horizontask_sub238_20190722T083711.mat,0,
sub239,EIT_horizontask_sub239_20190718T083957.mat,0,
sub241,EIT_horizontask_sub241_20190726T084411.mat,0,
sub243,EIT_horizontask_sub243_20190802T084225.mat,0,
sub244,EIT_horizontask_sub244_20190729T084947.mat,0,
sub245,EIT_horizontask_sub245_20190823T082306.mat,0,
sub246,EIT_horizontask_sub246_20190716T083320.mat,0,
sub247,EIT_horizontask_sub247_20191011T085305.mat,0,
sub248,EIT_horizontask_sub248_20190722T084408.mat,0,
sub249,EIT_horizontask_sub249_20190819T085808.mat,0,
sub251,EIT_horizontask_sub251_20190812T082851.mat,0,
sub252,EIT_horizontask_sub252_20190805T084739.mat,0,
sub253,EIT_horizontask_sub253_20190805T083716.mat,0,
sub254,EIT_horizontask_sub254_20190831T081524.mat,0,
sub256,EIT_horizontask_sub256_20190826T084319.mat,0,
sub257,EIT_horizontask_sub257_20190903T082345.mat,0,
sub258,EIT_horizontask_sub258_20190819T083122.mat,0,
sub259,EIT_horizontask_sub259_20190827T083819.mat,0,
sub263,EIT_horizontask_sub263_20191113T202503.mat,0,
sub266,EIT_horizontask_sub266_20190930T090816.mat,0,
sub267,EIT_horizontask_sub267_20190830T083823.mat,0,
sub268,EIT_horizontask_sub268_20190913T083105.mat,0,
sub269,EIT_horizontask_sub269_20190908T082959.mat,0,
sub270,EIT_horizontask_sub270_20190906T083545.mat,0,
sub271,EIT_horizontask_sub271_20190927T084128.mat,0,
sub272,EIT_horizontask_sub272_20191012T085219.mat,0,
sub276,EIT_horizontask_sub276_20190920T084642.mat,0,
sub277,EIT_horizontask_sub277_20190827T084424.mat,0,
sub278,EIT_horizontask_sub278_20190907T082915.mat,0,
sub279,EIT_horizontask_sub279_20190928T090122.mat,0,
sub280,EIT_horizontask_sub280_20190909T085304.mat,0,
sub281,EIT_horizontask_sub281_20190904T085205.mat,0,
sub282,EIT_horizontask_sub282_20190923T084920.mat,0,
sub283,EIT_horizontask_sub283_20200125T083209.mat,0,
sub284,EIT_horizontask_sub284_20200203T082703.mat,0,
sub285,EIT_horizontask_sub285_20191027T082830.mat,0,
sub287,EIT_horizontask_sub287_20190922T082529.mat,1,Duplicate subject with different game data:EIT_horizontask_sub287_20190913T082628.mat | EIT_horizontask_sub287_20190922T082529.mat
sub288,EIT_horizontask_sub288_20190928T081203.mat,0,
sub289,EIT_horizontask_sub289_20190908T083224.mat,0,
sub290,EIT_horizontask_sub290_20190914T082536.mat,0,
sub291,EIT_horizontask_sub291_20191005T082523.mat,0,
sub292,EIT_horizontask_sub292_20190906T083151.mat,0,
sub294,EIT_horizontask_sub294_20190912T083806.mat,0,
sub295,EIT_horizontask_sub295_20191122T082727.mat,0,
sub296,EIT_horizontask_sub296_20190910T084747.mat,0,
sub297,EIT_horizontask_sub297_20190916T083901.mat,0,
sub298,EIT_horizontask_sub298_20191004T084450.mat,0,
sub300,EIT_horizontask_sub300_20190912T085147.mat,0,
sub301,EIT_horizontask_sub301_20190927T084920.mat,0,
sub302,EIT_horizontask_sub302_20191006T084040.mat,0,
sub303,EIT_horizontask_sub303_20190916T084441.mat,0,
sub304,EIT_horizontask_sub304_20190910T085313.mat,0,
sub305,EIT_horizontask_sub305_20191017T083936.mat,0,
sub307,EIT_horizontask_sub307_20191102T084618.mat,0,
sub309,EIT_horizontask_sub309_20190923T082907.mat,0,
sub310,EIT_horizontask_sub310_20191102T203711.mat,0,
sub312,EIT_horizontask_sub312_20191127T081958.mat,0,
sub314,EIT_horizontask_sub314_20191012T085431.mat,0,
sub316,EIT_horizontask_sub316_20190911T093134.mat,0,
sub317,EIT_horizontask_sub317_20190928T083535.mat,0,
sub318,EIT_horizontask_sub318_20190916T084153.mat,0,
sub319,EIT_horizontask_sub319_20190920T083930.mat,0,
sub320,EIT_horizontask_sub320_20191108T084243.mat,0,
sub321,EIT_horizontask_sub321_20191004T083320.mat,0,
sub322,EIT_horizontask_sub322_20191108T204126.mat,0,
sub323,EIT_horizontask_sub323_20190912T081844.mat,0,
sub324,EIT_horizontask_sub324_20200117T090054.mat,0,
sub325,EIT_horizontask_sub325_20190917T090822.mat,0,
sub326,EIT_horizontask_sub326_20190917T084855.mat,0,
sub327,EIT_horizontask_sub327_20190918T090609.mat,0,
sub328,EIT_horizontask_sub328_20190918T090625.mat,0,
sub329,EIT_horizontask_sub329_20191015T083235.mat,0,
sub330,EIT_horizontask_sub330_20191118T082553.mat,0,
sub331,EIT_horizontask_sub331_20191122T202417.mat,0,
sub332,EIT_horizontask_sub332_20191009T084247.mat,0,
sub335,EIT_horizontask_sub335_20191001T082758.mat,0,
sub337,EIT_horizontask_sub337_20191123T083425.mat,0,
sub338,EIT_horizontask_sub338_20200115T083406.mat,0,
sub339,EIT_horizontask_sub339_20191109T203620.mat,0,
sub341,EIT_horizontask_sub341_20190930T082035.mat,0,
sub342,EIT_horizontask_sub342_20191029T083127.mat,0,
sub343,EIT_horizontask_sub343_20200121T082656.mat,0,
sub344,EIT_horizontask_sub344_20190923T083848.mat,0,
sub345,EIT_horizontask_sub345_20191007T082519.mat,0,
sub346,EIT_horizontask_sub346_20191015T085044.mat,0,
sub348,EIT_horizontask_sub348_20191201T085119.mat,0,
sub349,EIT_horizontask_sub349_20190930T083440.mat,0,
sub350,EIT_horizontask_sub350_20190924T085308.mat,0,
sub351,EIT_horizontask_sub351_20191006T082343.mat,0,
sub352,EIT_horizontask_sub352_20191014T083730.mat,0,
sub354,EIT_horizontask_sub354_20190925T083302.mat,0,
sub355,EIT_horizontask_sub355_20191116T202053.mat,0,
sub356,EIT_horizontask_sub356_20200117T082942.mat,0,
sub357,EIT_horizontask_sub357_20191101T082406.mat,0,
sub358,EIT_horizontask_sub358_20200118T082359.mat,0,
sub359,EIT_horizontask_sub359_20200217T082415.mat,0,
sub360,EIT_horizontask_sub360_20191002T085753.mat,0,
sub363,EIT_horizontask_sub363_20191104T082800.mat,0,
sub364,EIT_horizontask_sub364_20191031T203024.mat,0,
sub365,EIT_horizontask_sub365_20200104T085241.mat,0,
sub366,EIT_horizontask_sub366_20190926T084258.mat,0,
sub368,EIT_horizontask_sub368_20190930T083703.mat,0,
sub369,EIT_horizontask_sub369_20191024T205047.mat,0,
sub370,EIT_horizontask_sub370_20191108T084802.mat,0,
sub371,EIT_horizontask_sub371_20191016T082826.mat,0,
sub372,EIT_horizontask_sub372_20191021T083154.mat,0,
sub376,EIT_horizontask_sub376_20200220T090701.mat,0,
sub377,EIT_horizontask_sub377_20191014T084229.mat,0,
sub378,EIT_horizontask_sub378_20191016T085530.mat,0,
sub380,EIT_horizontask_sub380_20191023T083526.mat,0,
sub381,EIT_horizontask_sub381_20191016T084521.mat,0,
sub382,EIT_horizontask_sub382_20191004T085055.mat,0,
sub383,EIT_horizontask_sub383_20191101T084313.mat,0,
sub384,EIT_horizontask_sub384_20191115T083849.mat,0,
sub385,EIT_horizontask_sub385_20191002T084500.mat,0,
sub388,EIT_horizontask_sub388_20191121T205204.mat,0,
sub389,EIT_horizontask_sub389_20191030T082705.mat,0,
sub390,EIT_horizontask_sub390_20191125T083059.mat,0,
sub391,EIT_horizontask_sub391_20191106T083250.mat,0,
sub392,EIT_horizontask_sub392_20191027T202911.mat,0,
sub393,EIT_horizontask_sub393_20191025T082333.mat,0,
sub394,EIT_horizontask_sub394_20191028T083102.mat,0,
sub395,EIT_horizontask_sub395_20200119T081741.mat,0,
sub396,EIT_horizontask_sub396_20191106T084448.mat,0,
sub397,EIT_horizontask_sub397_20191003T083203.mat,0,
sub398,EIT_horizontask_sub398_20191105T204513.mat,0,
sub400,EIT_horizontask_sub400_20191005T083029.mat,0,
sub401,EIT_horizontask_sub401_20191028T081210.mat,0,
sub404,EIT_horizontask_sub404_20191122T082610.mat,0,
sub405,EIT_horizontask_sub405_20191008T083021.mat,0,
sub406,EIT_horizontask_sub406_20191022T083353.mat,0,
sub407,EIT_horizontask_sub407_20191009T084038.mat,0,
sub410,EIT_horizontask_sub410_20191112T085100.mat,0,
sub411,EIT_horizontask_sub411_20191104T081520.mat,0,
